date,ticker,open,high,low,close,volume,rv20_yz,rv60_yz,rv20_c2c,rv20_pctile
2025-10-08,SMH,336.73,346.46,336.42,346.07,7841500,0.228137,0.232821,0.211633,15.87
2025-10-09,SMH,346.04,347.1,342.4,345.21,5565500,0.229557,0.229663,0.213861,16.67
2025-10-10,SMH,345.97,346.49,324.83,325.34,18804500,0.248319,0.235314,0.316424,33.33
2025-10-13,SMH,337.48,341.09,335.0,339.75,11760200,0.275077,0.246589,0.346558,48.81
2025-10-14,SMH,333.06,339.06,330.25,333.5,7296700,0.295661,0.252664,0.35629,59.13
2025-10-15,SMH,342.1,343.08,335.51,341.78,8283800,0.306035,0.257209,0.361074,61.9
2025-10-16,SMH,346.17,347.09,339.81,343.3,9047500,0.29866,0.25892,0.340675,60.32
2025-10-17,SMH,341.22,344.93,338.14,342.83,8396300,0.302644,0.260257,0.339989,61.11
2025-10-20,SMH,346.0,350.05,345.66,347.22,6436900,0.301971,0.260466,0.33628,61.11
2025-10-21,SMH,347.06,347.1,343.16,345.3,4391800,0.301564,0.260684,0.337429,61.11
2025-10-22,SMH,342.86,344.86,332.4,338.6,8014200,0.313705,0.264841,0.346935,64.29
2025-10-23,SMH,337.05,345.91,336.73,344.8,6422600,0.30531,0.265859,0.351028,63.1
2025-10-24,SMH,350.58,352.94,349.82,351.14,5649300,0.306017,0.264837,0.3548,63.89
2025-10-27,SMH,357.67,360.6,356.21,359.94,6663400,0.308589,0.260319,0.361984,65.08
2025-10-28,SMH,359.61,364.67,358.46,363.11,5086000,0.310169,0.260327,0.361532,65.08
2025-10-29,SMH,369.08,372.78,365.82,368.61,8102600,0.307546,0.261006,0.357968,64.29
2025-10-30,SMH,367.43,369.86,363.55,363.73,6932700,0.30871,0.260433,0.362122,64.68
2025-10-31,SMH,366.88,368.43,360.5,363.02,4917900,0.31005,0.257883,0.361439,64.68
2025-11-03,SMH,367.69,369.47,364.69,366.1,4470500,0.301886,0.258826,0.357037,59.52
2025-11-04,SMH,357.98,361.79,351.8,352.76,8269000,0.321125,0.265633,0.377496,65.48
2025-11-05,SMH,353.1,364.28,352.72,359.5,8605400,0.325675,0.267329,0.372046,65.48
2025-11-06,SMH,359.59,360.15,348.71,351.09,9600500,0.329205,0.268816,0.382806,65.48
2025-11-07,SMH,346.54,348.18,336.68,348.12,14723200,0.338146,0.274957,0.31311,65.87
2025-11-10,SMH,357.55,360.0,353.95,358.79,9180700,0.327257,0.27858,0.293734,64.68
2025-11-11,SMH,355.25,356.04,349.74,351.05,7661200,0.315012,0.280239,0.297057,63.49
2025-11-12,SMH,356.2,357.48,352.94,355.53,5870700,0.302405,0.281043,0.28829,57.54
2025-11-13,SMH,351.63,352.88,341.25,344.82,10654800,0.308422,0.279768,0.310286,61.11
2025-11-14,SMH,335.24,348.91,333.75,344.98,12271200,0.334993,0.290673,0.31023,65.48
2025-11-17,SMH,341.94,348.34,337.05,340.3,6921300,0.342922,0.292438,0.310366,65.87
2025-11-18,SMH,335.75,337.79,329.12,333.29,12933100,0.35051,0.295846,0.317967,66.27
2025-11-19,SMH,334.81,343.06,333.46,339.44,9842300,0.344724,0.297928,0.318232,65.87
2025-11-20,SMH,348.86,349.78,323.69,325.1,14686700,0.373499,0.309569,0.345435,70.24
2025-11-21,SMH,325.0,331.62,315.05,326.13,17298700,0.389049,0.317011,0.337238,74.21
2025-11-24,SMH,329.0,340.57,328.83,339.12,10650900,0.388825,0.316964,0.356515,73.81
2025-11-25,SMH,334.73,340.72,327.35,340.01,12052700,0.402882,0.317946,0.35449,77.38
2025-11-26,SMH,344.25,350.3,343.43,347.71,5533300,0.401093,0.318763,0.360448,76.59
2025-11-28,SMH,349.17,352.57,347.71,352.28,3352700,0.400664,0.318064,0.362504,76.19
