forecast_id,ts_utc,ticker,horizon_days,direction,pred_move_pct,pred_vol_annual,pred_prob_profit,iv_at_forecast,iv_rank,rationale,decision,skip_reason,earnings_trade,source,regime,gate_reason,hypothesis,model_version
08da8ce2-6746-489d-a493-a585e2f6677d,2026-09-02T23:37:23+00:00,TSLA,21,up,0.0,0.389374,0.393725,0.3391400011404471,90.0,auto cron market-default verdict=SKIP p=0.394 vol=0.39,skip,contracts==0 (size/cap),false,model,kelly,"cheap: RV%ile 6, IV-RV -0.021, IV rank n/a (<180d history, not yet active)",,mc_path_v2
62eb6820-d6ff-4bc9-a5c6-03b8eea4dd54,2026-09-02T23:37:25+00:00,AMD,21,up,0.0,0.47113,0.35515,0.3860822534553146,10.0,auto cron market-default verdict=SKIP p=0.355 vol=0.47,skip,RV percentile 51 > 40,false,model,kelly,RV percentile 51 > 40,,mc_path_v2
eafacd2f-6e92-403f-abdd-e92c3832088e,2026-09-02T23:37:26+00:00,META,21,up,0.0,0.344049,0.3649,0.2829358808257014,50.0,auto cron market-default verdict=SKIP p=0.365 vol=0.34,skip,RV percentile 56 > 40,false,model,kelly,RV percentile 56 > 40,,mc_path_v2
55d4e8e8-d280-4bb0-aabc-aedadc528ab7,2026-09-02T23:37:28+00:00,AVGO,21,up,0.0,0.599922,0.356525,0.39224078062858353,10.0,auto cron market-default verdict=SKIP p=0.357 vol=0.60,skip,earnings in 0d (auto),false,model,kelly,IV-RV spread +0.044 > +0.030,,mc_path_v2
21e6f718-57dc-4b46-86f8-ee629248cb1c,2026-09-02T23:37:30+00:00,MU,21,up,0.0,0.514137,0.3598,0.48570080955638917,20.0,auto cron market-default verdict=SKIP p=0.360 vol=0.51,skip,RV percentile 58 > 40,false,model,kelly,RV percentile 58 > 40,,mc_path_v2
3831d5ed-b794-4223-a623-a8ebe665f38e,2026-09-02T23:37:31+00:00,COIN,21,up,0.0,0.61877,0.31685,0.5126268152588392,10.0,auto cron market-default verdict=SKIP p=0.317 vol=0.62,skip,RV percentile 46 > 40,false,model,kelly,RV percentile 46 > 40,,mc_path_v2
1f9d984a-1cc5-43e7-881f-a2bf0d8ae557,2026-09-02T23:37:33+00:00,PLTR,21,up,0.0,0.465079,0.3623,0.3775623095791379,60.0,auto cron market-default verdict=SKIP p=0.362 vol=0.47,skip,contracts==0 (size/cap),false,model,kelly,"cheap: RV%ile 10, IV-RV -0.049, IV rank n/a (<180d history, not yet active)",,mc_path_v2
53cf7abd-e2f3-49d1-bba2-57dd2507b30b,2026-09-02T23:37:34+00:00,NFLX,21,up,0.0,0.346565,0.4047,0.25089179553044777,50.0,auto cron market-default verdict=SKIP p=0.405 vol=0.35,skip,RV percentile 47 > 40,false,model,kelly,RV percentile 47 > 40,,mc_path_v2
7c44377a-f747-4fe9-aed2-5a602c14c48d,2026-09-02T23:37:36+00:00,CRM,21,up,0.0,0.370883,0.349775,0.2936759830211138,0.0,auto cron market-default verdict=SKIP p=0.350 vol=0.37,skip,RV percentile 99 > 40,false,model,kelly,RV percentile 99 > 40,,mc_path_v2
a6029f52-f598-4b96-9038-54466a36fe09,2026-09-02T23:37:38+00:00,UBER,21,up,0.0,0.3544,0.3367,0.29681916275191816,90.0,auto cron market-default verdict=SKIP p=0.337 vol=0.35,skip,RV percentile 68 > 40,false,model,kelly,RV percentile 68 > 40,,mc_path_v2
f016d859-4ebb-47ff-bd71-f0b2d4f8532f,2026-09-02T23:37:39+00:00,SHOP,21,up,0.0,0.425229,0.2251,0.34738385975850894,30.0,auto cron market-default verdict=SKIP p=0.225 vol=0.43,skip,RV percentile 88 > 40,false,model,kelly,RV percentile 88 > 40,,mc_path_v2
c5a8be59-5cf6-4275-ad25-c0bbf03acfe0,2026-09-02T23:37:41+00:00,MRVL,21,up,0.0,0.555458,0.3642,0.44956740454074723,0.0,auto cron market-default verdict=SKIP p=0.364 vol=0.56,skip,RV percentile 80 > 40,false,model,kelly,RV percentile 80 > 40,,mc_path_v2
1a64bcb1-c8f6-4290-a67d-febe3f0a929a,2026-09-02T23:37:42+00:00,SMCI,21,up,0.0,0.683832,0.3392,0.5589460132370923,0.0,auto cron market-default verdict=SKIP p=0.339 vol=0.68,skip,log_growth -0.4134 <= 0.0,false,model,kelly,"cheap: RV%ile 39, IV-RV -0.230, IV rank n/a (<180d history, not yet active)",,mc_path_v2
f5d848f6-7a03-451b-91de-1964a447f548,2026-09-02T23:37:44+00:00,XLE,21,up,0.0,0.239596,0.311125,0.18099018090408886,50.0,auto cron market-default verdict=SKIP p=0.311 vol=0.24,skip,RV percentile 59 > 40,false,model,kelly,RV percentile 59 > 40,,mc_path_v2
d7bf5192-a8e0-42fe-bb14-965cf6b12ac5,2026-09-02T23:37:46+00:00,XLF,21,up,0.0,0.14419,0.26295,0.10639434239080227,66.66666666666666,auto cron market-default verdict=SKIP p=0.263 vol=0.14,skip,log_growth -0.5784 <= 0.0,false,model,kelly,"cheap: RV%ile 8, IV-RV -0.008, IV rank n/a (<180d history, not yet active)",,mc_path_v2
c9610777-c341-4495-9fa5-e8aaf7629019,2026-09-02T23:37:47+00:00,XBI,21,up,0.0,0.288363,0.19995,0.2415330712523239,22.22222222222222,auto cron market-default verdict=SKIP p=0.200 vol=0.29,skip,RV percentile 69 > 40,false,model,kelly,RV percentile 69 > 40,,mc_path_v2
9b9cd17f-d5c0-4acf-89d6-0803cab028d4,2026-09-02T23:37:49+00:00,SMH,21,up,0.0,0.303732,0.334375,0.2555986398246895,11.11111111111111,auto cron market-default verdict=SKIP p=0.334 vol=0.30,skip,RV percentile 44 > 40,false,model,kelly,RV percentile 44 > 40,,mc_path_v2
